Brand,Price,Ton,BEE_rating,Avg_Rating,Reviews,Rated_reviews,Type,Inverter,Convertible,Condenser Coil,Power Consumption,Noise level,Refrigerant,Ambient Temperature,WiFi Enabled,Warranty
Carrier,43490,1.5,5,4.3,"9,189","1,128",Split,Yes,Yes,Copper,1380,38,R32,52,No,"1 Year warranty on Product, 5 (1+4) Years on PCB and 10 (1+9) Years on Compressor"
Whirlpool,25490,0.8,3,4.2,"28,306","3,577",Split,Yes,No,Copper,767,36,R410a,50,No,"1 Year on Comprehensive Unit , 10 years on compressor & 1 year on condensor"
Daikin,39999,1.5,3,4.1,766,84,Split,No,No,Copper,1278,44,R32,50,No,1 Year Warranty on Product and 5 Years on Compressor
Marq By Flipkart,27499,1.2,3,3.9,"5,350",734,Split,Yes,Yes,Copper,841,40,R32,55,No,1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart
Voltas,33990,1.5,3,4.2,572,38,Split,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available
Lloyd,30999,1.5,5,4.1,306,38,Window,No,No,Copper,1114,52,R32,48,No,1 Year Comprehensive Warranty on Product and 5 Years on Compressor
Voltas,35799,1.5,3,5,5,0,Split,Yes,No,Copper,1835,46,R32,52,Yes,1 Year Warranty on Product and 10 Years on Compressor
Ifb,39490,1.5,5,4.3,615,73,Split,Yes,No,Copper,1370,35,R32,Not Available,No,"1 Year Warranty on Product, 5 Years on ODU PCB and 10 Years on Compressor from IFB"
Voltas,33284,1.5,5,4.1,114,7,Window,Yes,No,Copper,1131,54,Not Available,Not Available,No,1 Year Warranty on Product and 5 Years on Compressor from Voltas
Marq By Flipkart,26999,1,3,3.9,"5,350",734,Split,Yes,Yes,Copper,712,40,R32,55,No,1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart
Voltas,33999,1.5,3,4.1,715,64,Split,Yes,No,Copper,1690,46,R32,50,No,1 Year Warranty on Product and 5 Years on Compressor
Lg,37790,1.5,5,3.9,49,6,Window,Yes,No,Copper,1106,44,R32,Not Available,Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Lloyd,37999,1.5,5,4.1,275,37,Split,Yes,No,Copper,864,35,R32,Not Available,No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
Onida,36990,1.5,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,1415,40,R32,Not Available,No,1 Year on Product and 5 Year on Compressor from Onida
Voltas,39499,1.5,5,3.8,18,0,Split,Yes,No,Copper,1440,46,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Blue Star,32990,1.5,5,4,104,9,Window,No,No,Copper,114,55,Not Available,Not Available,No,1 Year on Product and 5 Years on Compressor
Voltas,39499,1.5,5,3.8,18,0,Split,Yes,No,Copper,1440,46,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Carrier,45999,1.5,5,4.3,15,2,Split,Yes,No,Copper,1390,38,R32,55,Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor"
Lg,37990,1,5,4.1,"1,184",124,Split,Yes,Yes,Copper,571,21,R32,52,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Lg,34490,1.5,4,3.9,637,75,Window,Yes,Yes,Copper,1114,44,R32,Not Available,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Blue Star,36490,1.5,3,4.2,"2,725",307,Split,Yes,Yes,Copper,1570,45,R37,Not Available,No,1 Year on Product and 10 Years Warranty on Compressor
Voltas,35999,1.5,4,4.2,794,73,Split,Yes,No,Copper,987,46,R32,Not Available,No,1 Year on Air Conditioner and 5 Years on Compressor
Carrier,35999,1.5,3,4.2,"5,815",643,Split,No,No,Copper,1445,38,R32,52,No,1 Year Warranty on Product and 5 Years on Compressor
Voltas,27159,1,3,4.2,"2,437",211,Window,No,No,Copper,Not Available,Not Available,R22,Not Available,No,1 Year on Product and 4 Years on Compressor
Hitachi,45830,1.5,5,Not Available,Not Available,Not Available,Split,Yes,No,Copper,780,36,R32,Not Available,Yes,"2 Year on Product, 5 Years on Controller and 10 Years on Compressor"
Blue Star,39290,1,5,4.2,"2,725",307,Split,Yes,Yes,Copper,955,44,R38,Not Available,No,1 Year on Product and 10 Years Warranty on Compressor
Lg,37999,1.5,5,4.3,"2,217",272,Window,No,No,Copper,5000,44,R32,Not Available,Yes,Not Available
Panasonic,32999,1,3,4.3,"9,607","1,169",Split,Yes,No,Copper,1095,45,R32,Not Available,Yes,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor"
Hisense,29990,1,4,4.2,"1,548",269,Split,Yes,Yes,Copper,1000,44,R32,48,No,5 Years Standard Warranty on Product and 10 Years on Compressor
Daikin,33100,1,3,4.1,766,84,Split,No,No,Copper,848,37,R32,50,No,1 Year Warranty on Product and 5 Years on Compressor
